"region_id","mean_exc","lower_exc","upper_exc","mean_mort","lower_mort","upper_mort","prob_exc_pos","prefecture","prefecture_en"
1,7.39048989857946,0.183189059778535,14.6324340626071,0.172838772687555,0.00428417773333199,0.342203558832913,0.97875,"北海道","Hokkaido"
2,8.3337246171658,3.80676529028381,12.6442537936672,0.809876727685788,0.36994390359534,1.22877673031706,1,"青森県","Aomori"
3,28.2645182195456,15.2760325993482,41.3976040475612,2.84897069762197,1.539773963717,4.17274265802627,1,"岩手県","Iwate"
4,24.8366899493754,4.13560756751414,45.2953322423683,1.30588279501267,0.217445190174254,2.38157319635819,0.99125,"宮城県","Miyagi"
5,7.91429200825179,4.25236266992984,11.8701231412886,1.02596932674416,0.551255078911806,1.53878353678894,1,"秋田県","Akita"
6,10.3162300507095,4.14126000873653,16.3722089324114,1.18826187009622,0.477005780052135,1.88581211430965,0.99875,"山形県","Yamagata"
7,64.6721138295246,33.9571595721078,95.7374018268787,4.23972915780368,2.22613969188575,6.27628555775581,1,"福島県","Fukushima"
8,133.325628889655,55.8829280700352,205.794285622463,5.61352051637694,2.35288568183682,8.66472901058612,1,"茨城県","Ibaraki"
9,56.5110337275449,19.3703116702032,90.2896993348065,3.49196513638513,1.19694241233273,5.57923756574569,1,"栃木県","Tochigi"
10,36.5733219431132,9.40584397025849,62.7624381944777,2.29889326384995,0.591224154526727,3.94506538433959,0.9975,"群馬県","Gunma"
11,-22.479577159782,-191.795187583287,162.118977787967,-0.371969373401764,-3.17363334905009,2.68258135621041,0.39125,"埼玉県","Saitama"
12,107.166740084178,-44.1976158091089,267.782458035454,2.09353905287045,-0.863415595803825,5.23122223490716,0.91375,"千葉県","Chiba"
13,-81.8399850196795,-427.336282664626,264.846974687124,-0.723671770036741,-3.77872996924997,2.34191488322755,0.32625,"東京都","Tokyo"
14,-44.1290174947848,-238.125871837216,168.508412964494,-0.580307653704961,-3.13141496949562,2.21592791565162,0.34,"神奈川県","Kanagawa"
15,7.75342849661423,1.66025351225768,14.2072507644697,0.4299932191122,0.0920751062049209,0.78791227566183,0.98875,"新潟県","Niigata"
16,5.45388406410165,-7.69618437401283,19.8177761526862,0.652240971366891,-0.92040217814048,2.37004773409843,0.7725,"富山県","Toyama"
17,11.9752059987702,5.35465287423905,18.742391226218,1.28882203685161,0.576290263793276,2.01713497355492,1,"石川県","Ishikawa"
18,2.008882512972,-6.78930509618368,10.6403740583791,0.321603567316757,-1.0869051447435,1.70342577660095,0.6625,"福井県","Fukui"
19,17.7414506998173,6.09090602822875,29.968990248311,2.66565269955029,0.915158538699563,4.50284033193686,1,"山梨県","Yamanashi"
20,30.7847017444244,-2.57916445192807,65.2572231751129,1.87662930958815,-0.157225353193903,3.9780673754597,0.965,"長野県","Nagano"
21,15.0352120213046,-16.9381089783164,46.7993890107998,0.921935391899979,-1.03861801994154,2.86966442423387,0.80375,"岐阜県","Gifu"
22,45.2800647677217,-16.0900537145508,109.537933894655,1.52113839946808,-0.540529230253101,3.67981711820195,0.91,"静岡県","Shizuoka"
23,3.13155118546408,-169.16496599183,183.297221516201,0.0501470885439758,-2.70892283910531,2.93522968422293,0.495,"愛知県","Aichi"
24,39.283721272376,12.8884230860197,66.2911608129163,2.69730540513049,0.884947050013193,4.55169471174285,0.99875,"三重県","Mie"
25,15.4063263687965,-5.24270461644673,36.9180743102053,1.31112968386424,-0.446171623384372,3.14185107731151,0.92625,"滋賀県","Shiga"
26,-17.8801730780177,-65.0723159866151,30.3466918228556,-0.84883038823729,-3.08919600506137,1.44065687112284,0.24,"京都府","Kyoto"
27,-100.999832113493,-378.130826006263,196.16208709736,-1.39831678585638,-5.23512435803009,2.71581381272629,0.24625,"大阪府","Osaka"
28,-2.6636085779262,-92.6172741524522,88.7744759265419,-0.0594329298628942,-2.06656338488021,1.980819270925,0.48125,"兵庫県","Hyogo"
29,19.9330041811231,-2.83116351861112,41.2076754019701,1.8228499770583,-0.258906600733869,3.76839383961213,0.95875,"奈良県","Nara"
30,8.72436116312898,-17.1837963155019,35.3718349010827,1.16576728438806,-2.29613460420013,4.72645814924848,0.7325,"和歌山県","Wakayama"
31,5.68214945378921,0.187480368063563,11.4199803246782,1.26597665087923,0.0417704198731411,2.54435906026753,0.97625,"鳥取県","Tottori"
32,6.22913163977367,-1.15473087339182,14.0129650159495,1.17943455593991,-0.218638740300962,2.6532390270032,0.93625,"島根県","Shimane"
33,9.0169919829959,-14.9101630800497,33.7728289831726,0.591704817634204,-0.978421112363656,2.21620975732971,0.74625,"岡山県","Okayama"
34,-8.98628659650098,-52.3116440695887,38.2449885407265,-0.394005604406487,-2.29361491176574,1.6768594751224,0.35875,"広島県","Hiroshima"
35,12.3308586696549,-1.15829724682256,25.4032546503292,1.14121176147821,-0.107199545203994,2.35105224732845,0.965,"山口県","Yamaguchi"
36,2.14278541433597,-18.5050282117529,24.1670071614207,0.364384860255526,-3.14681632320786,4.10964694289629,0.58625,"徳島県","Tokushima"
37,14.154084002276,3.65748013488074,24.952455968282,1.84045013393751,0.475580744259578,3.24455831415933,0.995,"香川県","Kagawa"
38,18.2115316748207,2.72653553652451,32.9831835439331,1.68376801907509,0.252084965792253,3.04949801094119,0.99375,"愛媛県","Ehime"
39,20.6083401974509,-7.7863822293022,49.7167629331643,3.70281063976448,-1.39902091520692,8.93287654414498,0.915,"高知県","Kochi"
40,12.9263957705888,-37.9939501080112,60.6652555040868,0.310204403460427,-0.911769284921407,1.45582958532318,0.675,"福岡県","Fukuoka"
41,8.03388476646825,1.09199070000575,14.743391392096,1.20766809638347,0.164150018114354,2.21625327401308,0.9875,"佐賀県","Saga"
42,18.3233380467129,-7.03905114255632,42.953020214573,1.69472655375039,-0.651042231174535,3.97272722556537,0.9025,"長崎県","Nagasaki"
