"region_id","typhoon_no","mean","typhoon_name","year","order_key","ty_label"
45,"2019216N16147",1.32511034236719,"KROSA",2019,502,"2019-KROSA"
46,"2012215N23146",1.00997260135597,"HAIKUI",2012,135,"2012-HAIKUI"
46,"2013243N26122",1.3349400478237,"TORAJI",2013,192,"2013-TORAJI"
46,"2014184N08147",1.26013192830689,"NEOGURI",2014,236,"2014-NEOGURI"
46,"2014209N12152",0.901218381113472,"HALONG",2014,241,"2014-HALONG"
46,"2014275N06166",3.82577260023628,"VONGFONG",2014,249,"2014-VONGFONG"
46,"2015188N08194",1.01873513993976,"HALOLA",2015,289,"2015-HALOLA"
46,"2015226N12151",1.63736344987733,"GONI",2015,295,"2015-GONI"
46,"2016244N21123",0.828498951119946,"NAMTHEUN",2016,348,"2016-NAMTHEUN"
46,"2016256N12146",2.48153771558026,"MALAKAS",2016,351,"2016-MALAKAS"
46,"2017200N26162",0.894471366850572,"NORU",2017,397,"2017-NORU"
46,"2017252N14147",1.30236239136581,"TALIM",2017,402,"2017-TALIM"
46,"2018204N15137",1.11647815653808,"JONGDARI",2018,447,"2018-JONGDARI"
46,"2018226N23128",0.729797192731977,"RUMBIA",2018,450,"2018-RUMBIA"
46,"2018263N12146",1.6447907187776,"TRAMI",2018,457,"2018-TRAMI"
46,"2019216N16147",0.877943956693618,"KROSA",2019,502,"2019-KROSA"
47,"2010243N12146",3.46307599603392,"MALOU",2010,35,"2010-MALOU"
47,"2011126N11129",1.31236160036151,"AERE",2011,71,"2011-AERE"
47,"2011140N08142",2.7802814241955,"SONGDA",2011,74,"2011-SONGDA"
47,"2011208N09145",4.16768206875143,"MUIFA",2011,83,"2011-MUIFA"
47,"2012162N06150",1.28207879449717,"GUCHOL",2012,129,"2012-GUCHOL"
47,"2012232N13141",2.4501803773545,"BOLAVEN",2012,139,"2012-BOLAVEN"
47,"2012263N15141",9.82476241697741,"JELAWAT",2012,142,"2012-JELAWAT"
47,"2013274N18152",1.35811201684046,"DANAS",2013,197,"2013-DANAS"
47,"2013289N14149",2.6140176290611,"FRANCISCO",2013,199,"2013-FRANCISCO"
47,"2014184N08147",1.1776202422484,"NEOGURI",2014,236,"2014-NEOGURI"
47,"2014209N16134",2.98889408397294,"NAKRI",2014,239,"2014-NAKRI"
47,"2014275N06166",2.22117892175045,"VONGFONG",2014,249,"2014-VONGFONG"
47,"2015188N08194",1.14577032597396,"HALOLA",2015,289,"2015-HALOLA"
47,"2015226N12151",1.25479257398774,"GONI",2015,295,"2015-GONI"
47,"2016269N15165",1.59589461337704,"CHABA",2016,353,"2016-CHABA"
47,"2017252N14147",1.0398062582642,"TALIM",2017,402,"2017-TALIM"
47,"2017292N13151",1.76670628706894,"SAOLA",2017,409,"2017-SAOLA"
47,"2018165N22117",1.32841933867753,"GAEMI",2018,442,"2018-GAEMI"
47,"2018179N19134",2.9995883136031,"PRAPIROON",2018,444,"2018-PRAPIROON"
47,"2018184N10147",1.29561590804918,"MARIA",2018,445,"2018-MARIA"
47,"2018204N15137",2.29363370708602,"JONGDARI",2018,447,"2018-JONGDARI"
47,"2018263N12146",4.5843649567526,"TRAMI",2018,457,"2018-TRAMI"
47,"2019260N20129",1.70826541782311,"TAPAH",2019,508,"2019-TAPAH"
