"typhoon_no","typhoon_name","year","mean","lower","upper"
"2010218N20127","DIANMU",2010,3.73673923290361,0.714784852294184,6.8469343678586
"2010243N12146","MALOU",2010,3.56641855754411,-0.608937781542612,7.89112903202023
"2011126N11129","AERE",2011,1.31236160036151,-0.213087217864187,2.81998809853786
"2011140N08142","SONGDA",2011,2.7802814241955,-0.443859253751592,6.02982520474676
"2011192N18158","MA-ON",2011,-1.15733311732432,-15.3037746331986,14.966016679031
"2011208N09145","MUIFA",2011,4.16768206875143,-0.472971134533149,8.91406963569067
"2011236N15143","TALAS",2011,-1.40113426281901,-11.8909561994324,10.239348353235
"2011253N20145","ROKE",2011,49.903998256931,-31.8455211662275,139.010045014431
"2012162N06150","GUCHOL",2012,34.9549931967794,-26.0613103850302,98.7222425069867
"2012215N23146","HAIKUI",2012,1.00997260135597,-0.745885723355384,2.72216747832155
"2012232N13141","BOLAVEN",2012,2.4501803773545,-0.391726443575633,5.30969700022297
"2012263N15141","JELAWAT",2012,50.9478792611622,-14.35310302314,120.854753287997
"2013243N26122","TORAJI",2013,2.43763005213285,-1.02144501213718,6.16094150170695
"2013255N20148","MAN-YI",2013,39.5734620463957,-27.7741084496664,108.767237164533
"2013274N18152","DANAS",2013,3.73026030403672,-4.50726329599596,11.9479480853895
"2013282N14149","WIPHA",2013,20.4585287966536,-9.69030782824014,52.532891484463
"2013289N14149","FRANCISCO",2013,2.6140176290611,0.621125535320048,4.52766718701379
"2014184N08147","NEOGURI",2014,3.77642038038991,-1.15252518852715,8.8080681773908
"2014209N12152","HALONG",2014,0.307924756462331,-15.8767340114757,18.0902164341057
"2014209N16134","NAKRI",2014,2.98889408397294,-0.523421403842937,6.55851819826244
"2014275N06166","VONGFONG",2014,55.5298866858339,-92.5056025209006,223.835304480473
"2015188N08194","HALOLA",2015,5.2598512910018,-3.21509542758826,14.9021132227763
"2015226N12151","GONI",2015,9.59345938263844,-5.24504812972248,24.59478747996
"2015249N18142","ETAU",2015,3.86313407652263,-4.00077138584404,11.8519356545968
"2016230N15138","MINDULLE",2016,32.7051870232358,-5.92896876439636,72.7327149032595
"2016244N21123","NAMTHEUN",2016,7.30082227189336,2.20485030838656,12.3790054410684
"2016256N12146","MALAKAS",2016,7.26411604670967,-10.9693372904618,25.7893072441067
"2016269N15165","CHABA",2016,1.8503811745083,-1.96201185010732,5.92486154424066
"2017182N15132","NANMADOL",2017,2.46103287339485,-1.0512594427893,6.15628107467059
"2017200N26162","NORU",2017,2.73970229178298,-13.5297123315714,19.9204064116749
"2017252N14147","TALIM",2017,12.8080937023516,-22.3540701257568,49.4113613928517
"2017288N09138","LAN",2017,48.9393264014396,-32.7503268038381,135.039670839861
"2017292N13151","SAOLA",2017,1.76670628706894,-0.285006285262156,3.80975890136654
"2018165N22117","GAEMI",2018,1.32841933867753,-0.215036992761929,2.85926339395186
"2018179N19134","PRAPIROON",2018,3.75036215502309,0.874819726118398,6.68937703630025
"2018184N10147","MARIA",2018,1.29561590804918,-0.652995740059496,3.29199048812974
"2018204N15137","JONGDARI",2018,8.09747784354445,-18.4601127951659,37.2393348919928
"2018222N16147","LEEPI",2018,7.04031920059403,1.85921455452063,12.3614735900779
"2018226N23128","RUMBIA",2018,-0.208306043317001,-14.2413551428381,15.237237497326
"2018239N11161","JEBI",2018,-1.77102680227419,-58.7363127922806,56.4819656263896
"2018263N12146","TRAMI",2018,46.1809038989266,-18.4341402242782,114.382218124405
"2019205N23137","NARI",2019,1.55538835680536,-2.60690126687895,6.09408008191218
"2019213N17155","FRANCISCO",2019,2.29861096906913,-1.34372330992245,5.88436665748968
"2019216N16147","KROSA",2019,3.52742594305773,-15.2980483919511,23.3247711826626
"2019242N14180","FAXAI",2019,19.377234922365,-9.87257887556536,51.1272410745222
"2019260N20129","TAPAH",2019,6.53746105013833,-4.94236874794087,17.9155474533915
"2019278N16165","HAGIBIS",2019,39.3089494204009,-10.8435657650274,91.9119787145343
