"region_id","typhoon_no","mean","typhoon_name","year","order_key","ty_label"
39,"2016256N12146",-2.17149750720056,"MALAKAS",2016,351,"2016-MALAKAS"
39,"2017182N15132",-1.49902235168552,"NANMADOL",2017,392,"2017-NANMADOL"
39,"2017200N26162",-1.34924526576298,"NORU",2017,397,"2017-NORU"
39,"2017252N14147",-2.18902719417321,"TALIM",2017,402,"2017-TALIM"
39,"2018226N23128",-1.31220945810273,"RUMBIA",2018,450,"2018-RUMBIA"
39,"2018239N11161",-2.81946122961315,"JEBI",2018,452,"2018-JEBI"
39,"2018263N12146",-2.27549565346886,"TRAMI",2018,457,"2018-TRAMI"
39,"2019216N16147",-2.28713112215616,"KROSA",2019,502,"2019-KROSA"
40,"2013274N18152",3.65859827248764,"DANAS",2013,197,"2013-DANAS"
40,"2014275N06166",3.27236142627068,"VONGFONG",2014,249,"2014-VONGFONG"
40,"2015226N12151",7.82012880097044,"GONI",2015,295,"2015-GONI"
40,"2018204N15137",3.99890060546629,"JONGDARI",2018,447,"2018-JONGDARI"
40,"2018263N12146",12.0804352032699,"TRAMI",2018,457,"2018-TRAMI"
40,"2019213N17155",3.92917311760621,"FRANCISCO",2019,501,"2019-FRANCISCO"
40,"2019216N16147",6.99947880656224,"KROSA",2019,502,"2019-KROSA"
40,"2019260N20129",7.59912530043464,"TAPAH",2019,508,"2019-TAPAH"
41,"2013274N18152",-1.0067171128261,"DANAS",2013,197,"2013-DANAS"
41,"2014275N06166",-0.906403159997524,"VONGFONG",2014,249,"2014-VONGFONG"
41,"2015188N08194",-0.965346792592494,"HALOLA",2015,289,"2015-HALOLA"
41,"2015226N12151",-1.87135507377245,"GONI",2015,295,"2015-GONI"
41,"2018204N15137",-0.993374551623709,"JONGDARI",2018,447,"2018-JONGDARI"
41,"2018263N12146",-1.39356770711641,"TRAMI",2018,457,"2018-TRAMI"
41,"2019213N17155",-1.17014379065663,"FRANCISCO",2019,501,"2019-FRANCISCO"
41,"2019216N16147",0.107061861211971,"KROSA",2019,502,"2019-KROSA"
41,"2019260N20129",-1.98122597479976,"TAPAH",2019,508,"2019-TAPAH"
42,"2012263N15141",-0.150553232174229,"JELAWAT",2012,142,"2012-JELAWAT"
42,"2013274N18152",-0.16992601225824,"DANAS",2013,197,"2013-DANAS"
42,"2014184N08147",-0.132899742256909,"NEOGURI",2014,236,"2014-NEOGURI"
