"region_id","prefecture_en","typhoon_no","typhoon_name","year","ty_label","prob_exc_pos","median","lower","upper"
8,"Ibaraki","2012162N06150","GUCHOL",2012,"2012-GUCHOL",0.9975,4.36065713799236,0.93810246377727,7.68682776858775
8,"Ibaraki","2012263N15141","JELAWAT",2012,"2012-JELAWAT",0.9975,3.86444277639323,0.833318855097447,6.79679802747834
8,"Ibaraki","2013255N20148","MAN-YI",2013,"2013-MAN-YI",0.9975,4.31642106450287,0.928304688335116,7.61104906755304
8,"Ibaraki","2013282N14149","WIPHA",2013,"2013-WIPHA",0.9975,3.11840235992091,0.673451184384008,5.47685579376711
8,"Ibaraki","2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.99125,10.1930932264687,2.08218448361463,17.767476935485
8,"Ibaraki","2016230N15138","MINDULLE",2016,"2016-MINDULLE",0.99375,6.64534353312951,1.50098778154302,11.3524471119938
8,"Ibaraki","2017288N09138","LAN",2017,"2017-LAN",0.9975,5.30799252104008,1.13694502392051,9.39570994186023
8,"Ibaraki","2018222N16147","LEEPI",2018,"2018-LEEPI",0.9975,2.19967650815934,0.475946630069788,3.8563206490212
8,"Ibaraki","2018263N12146","TRAMI",2018,"2018-TRAMI",0.9975,3.19156407163925,0.688477571386969,5.61134407157573
8,"Ibaraki","2019242N14180","FAXAI",2019,"2019-FAXAI",0.9975,3.00353072991719,0.647704408751378,5.28238552846052
8,"Ibaraki","2019278N16165","HAGIBIS",2019,"2019-HAGIBIS",0.9975,4.51829472802717,0.968463766004939,7.99258690059679
9,"Tochigi","2011253N20145","ROKE",2011,"2011-ROKE",0.99875,2.7739827038438,0.77509552600574,4.71991394456211
9,"Tochigi","2012162N06150","GUCHOL",2012,"2012-GUCHOL",0.99875,3.02898860350706,0.845446926166238,5.15906875775026
9,"Tochigi","2012263N15141","JELAWAT",2012,"2012-JELAWAT",0.99875,3.22171721645683,0.899170058435931,5.48774544845032
9,"Tochigi","2013255N20148","MAN-YI",2013,"2013-MAN-YI",0.99875,2.91239917588335,0.812876399995983,4.96065520696188
9,"Tochigi","2013282N14149","WIPHA",2013,"2013-WIPHA",0.99875,1.47337628855468,0.414054038194811,2.4932273074062
9,"Tochigi","2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.9925,4.54704474402057,1.06624090368918,7.79739259084315
9,"Tochigi","2016230N15138","MINDULLE",2016,"2016-MINDULLE",0.99875,1.6619297752645,0.466334656232717,2.81636771965036
9,"Tochigi","2017288N09138","LAN",2017,"2017-LAN",0.99875,2.69343114455497,0.752302380718931,4.58452319917935
9,"Tochigi","2018263N12146","TRAMI",2018,"2018-TRAMI",0.99875,2.92616675844141,0.81616594505958,4.98734306902031
9,"Tochigi","2019278N16165","HAGIBIS",2019,"2019-HAGIBIS",0.99875,2.25466079811063,0.63016448892093,3.8352656648058
10,"Gunma","2011253N20145","ROKE",2011,"2011-ROKE",0.99625,1.71927316871783,0.327415735579756,3.13575018625692
10,"Gunma","2012162N06150","GUCHOL",2012,"2012-GUCHOL",0.99625,1.73568891345759,0.330501647131653,3.16607834231377
10,"Gunma","2012263N15141","JELAWAT",2012,"2012-JELAWAT",0.99625,2.18025869148283,0.414455050200964,3.98377070543402
10,"Gunma","2013255N20148","MAN-YI",2013,"2013-MAN-YI",0.99625,1.75703910486671,0.33440383519418,3.20659599968043
10,"Gunma","2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.98625,2.98641323678879,0.405536872605952,5.57875355438548
10,"Gunma","2016230N15138","MINDULLE",2016,"2016-MINDULLE",0.99625,0.892211392926349,0.17058261254275,1.6208598339159
