"region_id","typhoon_no","typhoon_name","year","ty_label","mean","lower","upper"
1,"2018239N11161","JEBI",2018,"2018-JEBI",0.998550350088238,-2.88736940818406,5.12880471454741
2,"2016244N21123","NAMTHEUN",2016,"2016-NAMTHEUN",1.51035504317606,0.0514603521075392,2.91441024257833
2,"2018239N11161","JEBI",2018,"2018-JEBI",1.06626709483045,0.0364469855019534,2.0537301172808
3,"2010218N20127","DIANMU",2010,"2010-DIANMU",1.28072825277598,0.261104227045843,2.29518520238978
3,"2012263N15141","JELAWAT",2012,"2012-JELAWAT",1.43181767014734,0.291348933415498,2.56913312690724
3,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",0.919914544666198,0.18786430585376,1.64675589963291
3,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",1.25335092443188,0.255372853734976,2.24697602942451
3,"2016230N15138","MINDULLE",2016,"2016-MINDULLE",1.02109068458394,0.208339542119518,1.82893450472099
3,"2016244N21123","NAMTHEUN",2016,"2016-NAMTHEUN",2.3163609098511,0.78741518674731,3.95484043360212
3,"2018263N12146","TRAMI",2018,"2018-TRAMI",0.935122973129878,0.190805689147709,1.67491481379265
3,"2019278N16165","HAGIBIS",2019,"2019-HAGIBIS",1.05144585025299,0.214174754077138,1.88534483738972
4,"2010218N20127","DIANMU",2010,"2010-DIANMU",0.990478434854372,-0.0854214988238468,2.12636743321665
4,"2011253N20145","ROKE",2011,"2011-ROKE",0.826162643701245,-0.0713054069246954,1.77279756974528
4,"2012263N15141","JELAWAT",2012,"2012-JELAWAT",1.76187411181343,-0.150961708589345,3.79714532300353
4,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",1.08507748022509,-0.0934235538494988,2.33177966240912
4,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.865923152521644,-0.0747122821257672,1.85848474802781
4,"2016230N15138","MINDULLE",2016,"2016-MINDULLE",1.74995169541422,-0.329894217743409,3.80989947894503
4,"2016244N21123","NAMTHEUN",2016,"2016-NAMTHEUN",2.03370562396198,0.269899259428076,3.76220040491547
4,"2018263N12146","TRAMI",2018,"2018-TRAMI",1.10958734579931,-0.0954595617202475,2.38555679766114
4,"2019278N16165","HAGIBIS",2019,"2019-HAGIBIS",1.07128543032792,-0.0921155611589121,2.30393806535821
5,"2010218N20127","DIANMU",2010,"2010-DIANMU",0.715188379543797,0.118932691407983,1.32174281804402
5,"2016244N21123","NAMTHEUN",2016,"2016-NAMTHEUN",0.608012786451737,0.101135194360139,1.12348783323768
5,"2018239N11161","JEBI",2018,"2018-JEBI",0.719364269179187,0.119397868420562,1.33112203113529
5,"2019278N16165","HAGIBIS",2019,"2019-HAGIBIS",0.491648471689866,0.0818052763206843,0.9082828876891
6,"2010218N20127","DIANMU",2010,"2010-DIANMU",0.693556670280807,0.128235540792148,1.29427775306691
6,"2012263N15141","JELAWAT",2012,"2012-JELAWAT",0.840986610842734,0.155232670954134,1.5712494138213
6,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",0.530194205404879,0.0981318407061492,0.988707685595509
6,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",0.508775859466378,0.0942126164763794,0.948450667554622
6,"2018239N11161","JEBI",2018,"2018-JEBI",0.502042322496529,0.0929016392340529,0.936348086917872
6,"2018263N12146","TRAMI",2018,"2018-TRAMI",0.491170097654853,0.0909222139420731,0.915842651601265
6,"2019278N16165","HAGIBIS",2019,"2019-HAGIBIS",0.587007458176053,0.108438502010003,1.09612124284955
7,"2011253N20145","ROKE",2011,"2011-ROKE",2.40439896532075,0.764160948904335,4.04133061346336
7,"2012162N06150","GUCHOL",2012,"2012-GUCHOL",2.0911946395969,0.665553415344742,3.51161577519587
7,"2012263N15141","JELAWAT",2012,"2012-JELAWAT",3.48474856664311,1.10266503558681,5.87428919822398
7,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",2.70145718000347,0.856725541626805,4.54712372066856
7,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",2.04982635828693,0.652474110468499,3.44184448084678
7,"2016230N15138","MINDULLE",2016,"2016-MINDULLE",3.8191794647605,1.31673125801829,6.41498032391929
7,"2017288N09138","LAN",2017,"2017-LAN",2.01181056431457,0.640078729401112,3.37904556642006
7,"2018222N16147","LEEPI",2018,"2018-LEEPI",1.29147479216759,0.412055466274709,2.16511074551974
7,"2018263N12146","TRAMI",2018,"2018-TRAMI",2.59126613689395,0.82155152454281,4.36245501753482
7,"2019278N16165","HAGIBIS",2019,"2019-HAGIBIS",2.40424422795257,0.762008660810695,4.04847514845122
8,"2011253N20145","ROKE",2011,"2011-ROKE",6.14134642015821,1.30597244414987,10.8095898728579
8,"2012162N06150","GUCHOL",2012,"2012-GUCHOL",4.38410061346269,0.93810246377727,7.68682776858775
8,"2012263N15141","JELAWAT",2012,"2012-JELAWAT",3.88334609775559,0.833318855097447,6.79679802747834
8,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",4.33989568687094,0.928304688335116,7.61104906755304
8,"2013282N14149","WIPHA",2013,"2013-WIPHA",3.13270332221318,0.673451184384008,5.47685579376711
8,"2014275N06166","VONGFONG",2014,"2014-VONGFONG",10.0560483035996,2.08218448361463,17.767476935485
8,"2016230N15138","MINDULLE",2016,"2016-MINDULLE",6.54582675985629,1.50098778154302,11.3524471119938
8,"2017288N09138","LAN",2017,"2017-LAN",5.34129650094413,1.13694502392051,9.39570994186023
8,"2018222N16147","LEEPI",2018,"2018-LEEPI",2.20891291651363,0.475946630069788,3.8563206490212
8,"2018263N12146","TRAMI",2018,"2018-TRAMI",3.20693258165925,0.688477571386969,5.61134407157573
8,"2019242N14180","FAXAI",2019,"2019-FAXAI",3.01819387996554,0.647704408751378,5.28238552846052
8,"2019278N16165","HAGIBIS",2019,"2019-HAGIBIS",4.54599784413467,0.968463766004939,7.99258690059679
9,"2011253N20145","ROKE",2011,"2011-ROKE",2.78816342309597,0.77509552600574,4.71991394456211
9,"2012162N06150","GUCHOL",2012,"2012-GUCHOL",3.04509790069263,0.845446926166238,5.15906875775026
9,"2012263N15141","JELAWAT",2012,"2012-JELAWAT",3.23890083413676,0.899170058435931,5.48774544845032
9,"2013255N20148","MAN-YI",2013,"2013-MAN-YI",2.92790803062105,0.812876399995983,4.96065520696188
