"region_id","mean_exc","lower_exc","upper_exc","mean_mort","lower_mort","upper_mort","prob_exc_pos"
1,1.55817910926267,-15.4350357771921,18.7634351147507,0.14017280039622,-1.3885259892418,1.68794667407134,0.5725
2,8.36349190755686,-1.12092501971098,17.3727087006404,2.94007231128128,-0.394046009717175,6.1071404608591,0.96375
3,34.7844062208963,6.01210134202556,63.4637199227485,12.0915114820885,2.08988452891604,22.0608134940931,0.99375
4,42.4875461722998,1.12863391576031,83.2771067967168,9.99612346901599,0.265535786122063,19.5927587417401,0.97625
5,10.7119732509882,1.47519235511941,20.8265260206327,4.16033007724161,0.572937121940069,8.08863321238228,0.9875
6,21.9008074404709,4.70759725531192,38.4574230043505,8.48931540546671,1.8247855934481,14.9070847936903,0.995
7,95.5206698897847,27.7241977848947,163.674180207779,23.7752965523088,6.90061140453985,40.7388492656724,0.99625
8,211.472861246232,62.9305665114546,349.988642116439,38.9888826543849,11.6023988072502,64.5267956248851,0.99875
9,100.716890661676,31.7777690028627,162.503406545947,28.3202168288398,8.93547549557445,45.6937429121557,0.9975
10,71.1353804670101,13.3638328686424,125.191283476949,18.5185564263098,3.47898459845165,32.5908406186874,0.99375
11,29.3439191001967,-261.391620994689,350.788756235021,2.40735237580608,-21.4443659576866,28.778437632851,0.565
12,366.50005385821,84.6266716673891,658.52925168393,33.1859515053194,7.66280002539118,59.6286946786423,0.9925
13,463.840398072758,-218.52654091452,1142.86138590565,21.296227301423,-10.0331728457583,52.4720053479434,0.90125
14,342.95926202617,-36.1595964545988,753.525736935075,22.7109491963669,-2.39450817916343,49.8988848663359,0.9575
15,2.2694119034495,-14.9241993981562,20.3053893842034,0.451855092134767,-2.97150794170124,4.04293886759184,0.58875
16,-0.989945523870269,-35.43186671751,37.3036461986032,-0.426222008792709,-15.2552247002146,16.0611211775576,0.48
17,19.8379169226561,3.99922193752352,35.949091354592,8.79513558147314,1.77305406097102,15.9380207976024,0.9925
18,-6.12514397035843,-31.7892884503856,18.7613895239821,-3.74223147804527,-19.4220538291662,11.4624999491083,0.32125
19,10.9279863395026,-14.8568316274863,37.8244923376058,6.361770628236,-8.6489635089251,22.0196783657647,0.8
20,45.9574229087745,-50.8265047997076,144.522599431225,9.93373641122506,-10.9861926415322,31.2386839241316,0.82125
21,12.812163243395,-65.8118585521752,89.8829092609261,3.16250979451672,-16.244770169776,22.1863845704493,0.6175
22,109.078529332391,-23.8595472979615,251.086228640368,14.9737395594865,-3.27531595295204,34.4678262316664,0.935
23,212.074914269008,-125.421188010233,566.28581781132,17.2306452903325,-10.1902104260911,46.0095438127857,0.8825
24,73.7148901534254,10.3789392438989,137.692325783381,20.3384740848484,2.86362479006482,37.9903136774553,0.98875
25,37.2976984899045,-12.1501964380059,89.2740270904841,15.6614690314286,-5.1019213770284,37.4865599540138,0.93
26,-44.3858916885652,-157.251034812399,69.7222926304859,-8.78958557115907,-31.13988193219,13.8068659652709,0.2325
27,-184.876028948321,-717.769927745104,375.712575897449,-11.4468482694883,-44.4416915596804,23.2627500368851,0.2525
28,67.7869706165645,-126.763667941993,263.874587194718,6.43282781736132,-12.0295809349642,25.0410922535919,0.745
29,48.3833599553983,-3.37697622266173,97.0301981843172,17.5918657468067,-1.2278459452586,35.2795304298436,0.96375
30,-24.5680979609893,-88.0054442795206,39.5147758752549,-11.3078281463645,-40.505799082918,18.1872563170739,0.24875
31,0.399224473166617,-13.3308470409517,14.5632452415212,0.318905496798589,-10.6488471626499,11.6333022419913,0.49625
32,0.0979872329514945,-21.4567069785567,22.9280563080325,0.0585748721421392,-12.8264043182284,13.7059484818352,0.48875
33,-23.5400117066448,-85.8960113895057,42.2493189603729,-5.93193567443015,-21.6452574706596,10.6465640495272,0.2575
34,-28.2790340952448,-130.80457674664,83.9509176246094,-5.08892758320903,-23.5388173575522,15.1073102036191,0.32
35,8.88631200245498,-27.8560147412372,44.629342599196,2.7287649730171,-8.55388796755466,13.704558968875,0.6675
36,-50.189815510916,-103.309823196089,5.86863930290646,-29.4928445793162,-60.7075465016643,3.44856551255986,0.03625
37,12.5717234624343,-12.0383821104977,37.6312163323662,6.0103306718725,-5.75534909391296,17.9908549864407,0.8225
38,16.6769310686347,-20.1958536666754,51.4117004517781,5.42941305988469,-6.57504856271762,16.737813253228,0.79375
39,-1.85731214314172,-73.9443367380596,71.5160913908459,-1.05242714956251,-41.8998108782562,40.5238702004098,0.47125
40,51.3666119610117,-62.9671141715739,156.885028515224,5.53984976387796,-6.79095504372059,16.9199301841385,0.8025
41,0.254780375319399,-17.1641101324177,17.0607067775172,0.151313350077054,-10.1937168511184,10.1323058887569,0.495
42,31.0472731079634,-31.4796658356396,92.610089534612,10.3882959075162,-10.5329728196475,30.9869730189075,0.82625
43,19.2695131781658,-25.0526079119856,64.3561642652829,5.08890861483796,-6.61617296963786,16.9958958339755,0.7925
44,24.3169008010088,-11.3640086189055,57.1153629646441,9.4263452261836,-4.4052105682269,22.1405323576918,0.91
45,27.9541326195716,-24.1802919520661,76.804185951201,11.7667442625383,-10.1782199957895,32.3292168166751,0.85125
46,43.5484927809308,-83.5675535129584,171.495664992417,12.0210006248623,-23.0677469838261,47.3391698400579,0.73375
47,91.7744842245217,-39.8734913185055,211.588891053211,45.5088733187676,-19.7723548165253,104.922104656473,0.92625
