"region_id","prefecture_en","lag","soc","mean","lower","upper"
1,"Hokkaido","lag 0 week","prefecture income",0.0141940345654401,-0.0579722750150724,0.0864124541176903
1,"Hokkaido","lag 1 week","prefecture income",0.000861218870129576,-0.0713521071201151,0.0731267297399141
1,"Hokkaido","lag 2 weeks","prefecture income",0.105926275375157,0.034292643697631,0.177611203233741
1,"Hokkaido","lag 0 week","potential flood risk",0.0339272705912164,-0.0162184356495731,0.0840981268294794
1,"Hokkaido","lag 1 week","potential flood risk",0.0304131028021848,-0.0195619079836007,0.0804130934915381
1,"Hokkaido","lag 2 weeks","potential flood risk",0.0490131947770367,-0.000738667144883909,0.0987898093594453
1,"Hokkaido","lag 0 week","potential landslide risk",0.041012331965673,-0.0255706453047067,0.107639653503799
1,"Hokkaido","lag 1 week","potential landslide risk",0.0489909069185002,-0.0174899735006617,0.1155159921437
1,"Hokkaido","lag 2 weeks","potential landslide risk",0.000849907803512906,-0.0652666065280916,0.0670101646190302
1,"Hokkaido","lag 0 week","distance to
medical facilities",0.0409346522101561,-0.00860107611861949,0.0904949205334571
1,"Hokkaido","lag 1 week","distance to
medical facilities",0.0332991151116957,-0.0160584868095115,0.0826810826743074
1,"Hokkaido","lag 2 weeks","distance to
medical facilities",0.0439628214405907,-0.00517964813084859,0.0931294420861262
2,"Aomori","lag 0 week","prefecture income",0.0256002709808856,-0.030890503910852,0.0821229678099611
2,"Aomori","lag 1 week","prefecture income",0.0169599978339097,-0.0394334742990665,0.0733852847495609
2,"Aomori","lag 2 weeks","prefecture income",0.07719897354308,0.0211374199069914,0.133291949515235
2,"Aomori","lag 0 week","potential flood risk",0.049478865164776,-0.00540870494897261,0.104396563361586
2,"Aomori","lag 1 week","potential flood risk",0.0457102691395761,-0.00904699993466984,0.100497524511844
2,"Aomori","lag 2 weeks","potential flood risk",0.0381335535584393,-0.0162965019748995,0.0925932402300544
2,"Aomori","lag 0 week","potential landslide risk",0.0401734457620373,-0.0190507702762854,0.0994327435613451
2,"Aomori","lag 1 week","potential landslide risk",0.0450362951209149,-0.0140581569694764,0.104165673663981
2,"Aomori","lag 2 weeks","potential landslide risk",0.0130815392598294,-0.0457092334470555,0.0719068913221932
2,"Aomori","lag 0 week","distance to
medical facilities",-0.000301901355881373,-0.0575071217136069,0.0569360622038717
2,"Aomori","lag 1 week","distance to
medical facilities",0.0471923480938718,-0.00996510315118826,0.104382472337172
2,"Aomori","lag 2 weeks","distance to
medical facilities",0.0748308358059946,0.018047956819478,0.13164595192785
3,"Iwate","lag 0 week","prefecture income",0.0346061133336573,-0.0154098317775131,0.0846470782479791
3,"Iwate","lag 1 week","prefecture income",0.0296713908443325,-0.0201738220367065,0.0795414541911565
3,"Iwate","lag 2 weeks","prefecture income",0.0545253480610741,0.00489867947350842,0.104176643504617
3,"Iwate","lag 0 week","potential flood risk",0.0557503533950676,-0.00580395131188904,0.117342549625499
3,"Iwate","lag 1 week","potential flood risk",0.0518791431660448,-0.00959473512103237,0.113390815456471
3,"Iwate","lag 2 weeks","potential flood risk",0.0337469361664233,-0.0272737957306757,0.0948049135189644
3,"Iwate","lag 0 week","potential landslide risk",0.0384956944579518,-0.0117149152622398,0.0887315181852255
3,"Iwate","lag 1 week","potential landslide risk",0.037127540458437,-0.0129109367853597,0.0871910594273828
3,"Iwate","lag 2 weeks","potential landslide risk",0.0375492907015218,-0.0122651914259198,0.0873885906992111
3,"Iwate","lag 0 week","distance to
medical facilities",-0.0301886610081126,-0.101375644830748,0.0410490501062899
3,"Iwate","lag 1 week","distance to
medical facilities",0.0572664477985318,-0.0140559758672665,0.128639747496639
3,"Iwate","lag 2 weeks","distance to
medical facilities",0.0972167665709733,0.0265304212351714,0.167953064248372
4,"Miyagi","lag 0 week","prefecture income",0.044486182090675,-0.00710758477983076,0.0961065700210817
4,"Miyagi","lag 1 week","prefecture income",0.0436172618921704,-0.00782725037202781,0.0950882416064669
4,"Miyagi","lag 2 weeks","prefecture income",0.0296589762578625,-0.0215136062179377,0.0808577507004582
4,"Miyagi","lag 0 week","potential flood risk",0.0381911769368637,-0.0112941437103165,0.0877009883196722
4,"Miyagi","lag 1 week","potential flood risk",0.0346072543651044,-0.0147012347437192,0.083940060319776
4,"Miyagi","lag 2 weeks","potential flood risk",0.0460299496149341,-0.00306493026746013,0.0951489333083977
4,"Miyagi","lag 0 week","potential landslide risk",0.0402932862175964,-0.019890671986067,0.100513472715535
4,"Miyagi","lag 1 week","potential landslide risk",0.0456012300930952,-0.0144568437054793,0.105695378829251
4,"Miyagi","lag 2 weeks","potential landslide risk",0.0113340717428523,-0.0484123412156312,0.071116198329757
