"typhoon_no","typhoon_name","year","mean","lower","upper"
"2010218N20127","DIANMU",2010,0.551095353827326,-5.09399295177547,6.63363974630913
"2010243N12146","MALOU",2010,2.60414792226606,-2.47017870749873,8.07309791691476
"2011126N11129","AERE",2011,1.5834402994245,-0.351607120357801,3.45730475955329
"2011140N08142","SONGDA",2011,2.96898714347676,-0.653932485800994,6.50990269920462
"2011192N18158","MA-ON",2011,-16.2512646316108,-39.803540764105,9.59752911469775
"2011208N09145","MUIFA",2011,5.34237613327677,-0.212164859048987,10.9562728965588
"2011236N15143","TALAS",2011,-13.5864792983709,-31.2069428217045,5.67659809962348
"2011253N20145","ROKE",2011,51.5147608877197,-73.8227438489672,186.838970384424
"2012162N06150","GUCHOL",2012,42.5087147333372,-52.8063407380081,140.316461602173
"2012215N23146","HAIKUI",2012,-0.856857258338276,-4.54792927623819,2.63018357397938
"2012232N13141","BOLAVEN",2012,2.94387236871096,-0.648851117361075,6.45251209311562
"2012263N15141","JELAWAT",2012,50.4199428340184,-54.1491120995527,161.005605018008
"2013243N26122","TORAJI",2013,-1.54429272196554,-9.11278799366809,6.48584337631761
"2013255N20148","MAN-YI",2013,47.290112114373,-72.0614729310369,167.769736243419
"2013274N18152","DANAS",2013,-8.84321210239493,-26.0783000445178,8.3352256207816
"2013282N14149","WIPHA",2013,37.1622350170313,-12.9760666710653,89.8558329082252
"2013289N14149","FRANCISCO",2013,1.06099362524154,-1.59696155098834,3.59071345718968
"2014184N08147","NEOGURI",2014,0.365721447054732,-9.48319851490379,10.3404307674879
"2014209N12152","HALONG",2014,-20.8350381785462,-52.0867967120422,13.9181084954136
"2014209N16134","NAKRI",2014,4.73684754125336,-0.128412886285871,9.61481101968526
"2014275N06166","VONGFONG",2014,148.347024611408,-115.553567766572,449.177437140904
"2015188N08194","HALOLA",2015,-11.9531950049728,-30.6038085973797,9.03956212111345
"2015226N12151","GONI",2015,-4.43007048529548,-35.8639959356058,28.7297960950185
"2015249N18142","ETAU",2015,-1.12217440420439,-17.5531142899641,15.2869333273891
"2016230N15138","MINDULLE",2016,68.7860548863653,-3.14750265854277,145.227182511969
"2016244N21123","NAMTHEUN",2016,6.69775187960181,-3.92841408589531,17.3917538273423
"2016256N12146","MALAKAS",2016,-10.985494281011,-50.8796298594812,29.415829022511
"2016269N15165","CHABA",2016,-6.47318478697959,-14.9999571232203,2.55791157198091
"2017182N15132","NANMADOL",2017,-2.06378427214301,-10.7134239104924,7.08321060223713
"2017200N26162","NORU",2017,-12.2543993516853,-47.3729935428534,24.1618403304096
"2017252N14147","TALIM",2017,-20.0315088436404,-102.417302254542,63.3238592348208
"2017288N09138","LAN",2017,90.6549721942009,-85.0210214038278,274.613061900799
"2017292N13151","SAOLA",2017,2.46907926745814,-0.546559037985534,5.3997351361197
"2018165N22117","GAEMI",2018,1.94793765208064,-0.431909544611709,4.25639221158575
"2018179N19134","PRAPIROON",2018,1.4774015089398,-3.37136749668423,6.57946403603273
"2018184N10147","MARIA",2018,2.60987853896389,-0.281966436075785,5.52623607723843
"2018204N15137","JONGDARI",2018,-11.9345385510192,-69.8845899187838,50.0702317394949
"2018222N16147","LEEPI",2018,12.9706303897991,1.19707731040763,24.6579635342482
"2018226N23128","RUMBIA",2018,-14.5599816409251,-48.3324450050222,22.2518836710733
"2018239N11161","JEBI",2018,-21.3330799259493,-154.384048360955,113.287061774534
"2018263N12146","TRAMI",2018,53.2987696635445,-88.9512693889188,205.243532015418
"2019205N23137","NARI",2019,4.52876518962791,-4.69693568553108,14.538141275089
"2019213N17155","FRANCISCO",2019,2.17757983700631,-6.96368915767348,10.954019955795
"2019216N16147","KROSA",2019,-20.2075928647952,-69.7621259992011,29.407701456008
"2019242N14180","FAXAI",2019,52.850577454503,-14.5181505327197,124.552682119066
"2019260N20129","TAPAH",2019,-9.66068841205909,-41.2191199152612,21.3982985782635
"2019278N16165","HAGIBIS",2019,81.7843017018882,-36.4788519847859,202.656626994356
