"region_id","prefecture_en","lag","soc","mean","lower","upper"
1,"Hokkaido","lag 0 week","prefecture income",-0.0120218778844383,-0.0460310522889529,0.0219988680860261
1,"Hokkaido","lag 1 week","prefecture income",0.0327832034142661,-0.0010176323169464,0.066595464226693
1,"Hokkaido","lag 2 weeks","prefecture income",0.0197841931145915,-0.0138008118506061,0.0533804791622794
1,"Hokkaido","lag 0 week","potential flood risk",-0.00636054357648907,-0.0288959179271076,0.0161799106729976
1,"Hokkaido","lag 1 week","potential flood risk",0.0270406287023128,0.00466573842268225,0.049420525105548
1,"Hokkaido","lag 2 weeks","potential flood risk",0.00471168731537297,-0.0175311085518715,0.026959431469753
1,"Hokkaido","lag 0 week","potential landslide risk",-0.0258469929174554,-0.056208053237905,0.00452329052698097
1,"Hokkaido","lag 1 week","potential landslide risk",0.0502999480244792,0.02018521143623,0.0804237517561202
1,"Hokkaido","lag 2 weeks","potential landslide risk",0.00137262682140538,-0.0285592853821348,0.0313135007780518
1,"Hokkaido","lag 0 week","distance to
medical facilities",-0.00423984915611797,-0.0264543155839125,0.0179795534026805
1,"Hokkaido","lag 1 week","distance to
medical facilities",0.0288905618805568,0.00683461021178111,0.0509513778669035
1,"Hokkaido","lag 2 weeks","distance to
medical facilities",0.00567414514194287,-0.0162520819228296,0.0276051805824906
2,"Aomori","lag 0 week","prefecture income",-0.00909152037930072,-0.0349977592927431,0.0168214322159299
2,"Aomori","lag 1 week","prefecture income",0.0312868401508348,0.0055528728124532,0.0570274294922735
2,"Aomori","lag 2 weeks","prefecture income",0.0132972900296124,-0.0122795306843226,0.0388806532845454
2,"Aomori","lag 0 week","potential flood risk",-0.00468245765656849,-0.0296680812537864,0.0203094106071999
2,"Aomori","lag 1 week","potential flood risk",0.0373459206998827,0.0125341596339812,0.0621638372291233
2,"Aomori","lag 2 weeks","potential flood risk",0.0109416848293797,-0.0137169174078688,0.0356063683674579
2,"Aomori","lag 0 week","potential landslide risk",-0.0204790139981537,-0.0473388017772636,0.00638799167982373
2,"Aomori","lag 1 week","potential landslide risk",0.0447394121671829,0.0180884579252583,0.0713974678581808
2,"Aomori","lag 2 weeks","potential landslide risk",0.0027017386869721,-0.0237887474542453,0.0291992439565236
2,"Aomori","lag 0 week","distance to
medical facilities",-0.027235606433873,-0.0532303618676733,-0.00123409012814379
2,"Aomori","lag 1 week","distance to
medical facilities",0.0395323811851256,0.0137098060665863,0.0653616234434828
2,"Aomori","lag 2 weeks","distance to
medical facilities",0.0142271277868256,-0.0114198712513613,0.0398807052618411
3,"Iwate","lag 0 week","prefecture income",-0.00677801958043345,-0.0292530684229519,0.0157020820183762
3,"Iwate","lag 1 week","prefecture income",0.030105516543566,0.00778914936376829,0.0524268635379022
3,"Iwate","lag 2 weeks","prefecture income",0.0081763479349295,-0.0140086170399734,0.0303662353261291
3,"Iwate","lag 0 week","potential flood risk",-0.00400580214110491,-0.0323947620152421,0.0243912196751017
3,"Iwate","lag 1 week","potential flood risk",0.0415015807349928,0.0133070268217406,0.0697040829192863
3,"Iwate","lag 2 weeks","potential flood risk",0.0134538903995063,-0.0145598263738722,0.0414754559989516
3,"Iwate","lag 0 week","potential landslide risk",-0.00974219146465671,-0.0322811093310671,0.0128018080703507
3,"Iwate","lag 1 week","potential landslide risk",0.0336192675558289,0.0112410244856198,0.0560025179208168
3,"Iwate","lag 2 weeks","potential landslide risk",0.00536001541375786,-0.0168857473067496,0.027610727709626
3,"Iwate","lag 0 week","distance to
medical facilities",-0.0439047186049257,-0.0766952329727455,-0.0111034438060376
3,"Iwate","lag 1 week","distance to
medical facilities",0.0472486373098713,0.0146615032619479,0.0798463890141266
3,"Iwate","lag 2 weeks","distance to
medical facilities",0.0204286818070054,-0.0119070189911752,0.0527748398257755
4,"Miyagi","lag 0 week","prefecture income",-0.00424011774488031,-0.0275552730406026,0.0190804750138218
4,"Miyagi","lag 1 week","prefecture income",0.0288096563897389,0.0056574966049272,0.0519671760963458
4,"Miyagi","lag 2 weeks","prefecture income",0.00255913121403051,-0.0204540048798663,0.0255775644357081
4,"Miyagi","lag 0 week","potential flood risk",-0.00590042604581287,-0.0280903082497397,0.016294381450388
4,"Miyagi","lag 1 week","potential flood risk",0.0298661676430001,0.00783407681672621,0.0519031122192759
4,"Miyagi","lag 2 weeks","potential flood risk",0.00641987382234976,-0.0154827499461385,0.028327295582975
4,"Miyagi","lag 0 week","potential landslide risk",-0.0212458857756448,-0.0485634420434811,0.00607913660679582
4,"Miyagi","lag 1 week","potential landslide risk",0.0455337555112845,0.0184300340901444,0.072644821695933
4,"Miyagi","lag 2 weeks","potential landslide risk",0.00251186448179119,-0.0244284747187851,0.0294594632745282
4,"Miyagi","lag 0 week","distance to
medical facilities",-0.00252852488487054,-0.0248226574521726,0.0197705791999736
4,"Miyagi","lag 1 week","distance to
medical facilities",0.0280987500306251,0.00596415044096243,0.0502382487331143
4,"Miyagi","lag 2 weeks","distance to
medical facilities",0.0050377474817731,-0.0169661770692775,0.0270465145813858
5,"Akita","lag 0 week","prefecture income",-0.00712855344519037,-0.0298871576327353,0.015635231831479
5,"Akita","lag 1 week","prefecture income",0.0302845040721422,0.00768560735879831,0.0528885074943419
5,"Akita","lag 2 weeks","prefecture income",0.0089522313976298,-0.0135131503939179,0.0314226608050472
5,"Akita","lag 0 week","potential flood risk",-0.00484485429894654,-0.0291800912696649,0.0194963064379161
5,"Akita","lag 1 week","potential flood risk",0.0363485879780967,0.0121833339916888,0.0605196808481478
5,"Akita","lag 2 weeks","potential flood risk",0.0103387648823894,-0.0136787211540979,0.0343620201043615
5,"Akita","lag 0 week","potential landslide risk",-0.0120430362124613,-0.0351236770216756,0.0110429336283024
5,"Akita","lag 1 week","potential landslide risk",0.0360020516291915,0.0130879980654974,0.0589213550442613
5,"Akita","lag 2 weeks","potential landslide risk",0.00479037873803989,-0.0179874788024281,0.0275734255198445
5,"Akita","lag 0 week","distance to
medical facilities",-0.0276871463390171,-0.0538326705163183,-0.00153478259545814
